ID,Spec_ID,sp,L_Shell,W_Shell,L_Ap,W_Ap,Texture,Basal_spirals,Thickness,Substrate
EC8541,4,laevis,7.808506616,5.500756144,5.4018431,3.622731569,0,2,0.68,Tubeworm
EC8541,5,laevis,8.817982042,6.115406427,6.396266541,4.238705104,0.044328922,4,0.3,Tubeworm
EC8647,1,laevis,6.322164461,3.978024575,4.178497164,2.726559546,0,1,0.1,Mussel
EC8647,2,laevis,6.96758034,4.129206049,4.470604915,2.830765595,0,2,0.13,Mussel
EC8647,3,laevis,3.462452741,2.249858223,2.339839319,1.497258979,0,0,0.11,Mussel
EC8647,4,laevis,2.676441399,1.750661626,1.809546314,1.132372401,0,0,NA,Mussel
EC8647,5,laevis,2.111082231,1.428780718,1.497258979,0.946124764,0,0,NA,Mussel
EC8895,1,goniata,6.082821361,3.826181474,3.869848771,2.528733459,0.579997637,0,0.28,Tubeworm
EC8895,2,goniata,7.727457467,4.753449905,4.640311909,2.996172023,0.3911862,4,0.65,Tubeworm
EC8895,3,goniata,8.963374291,5.683034026,5.605623819,3.672353497,0.43774811,2,0.42,Tubeworm
EC8895,4,goniata,6.456805293,4.142438563,4.1536862,2.766257089,0.424763705,4,0.11,Tubeworm
EC8895,5,goniata,7.664933837,4.846408318,4.60557656,3.306805293,0.531781664,4,0.23,Tubeworm
EC9322,1,goniata,6.799362004,4.177173913,4.416020794,2.463232514,0.610928639,3,0.29,NA
EC9322,2,goniata,6.908695652,4.191398866,4.283364839,2.771550095,0.656580813,3,0.42,NA
EC9322,3,goniata,5.598180529,3.803024575,3.560869565,2.508223062,0.355623819,2,0.25,NA
EC9322,4,goniata,7.840430057,4.814319471,4.768336484,3.066635161,0.682301512,3,0.21,NA
EC9322,5,goniata,10.37842628,5.747542533,5.985727788,4.020699433,0.957041588,4,0.2,NA
EC9325,1,goniata,6.574905482,3.82452741,3.890028355,2.638232514,0.698842155,3,0.37,Mussel
EC9325,2,goniata,6.838728733,3.470888469,3.443431002,2.217769376,0.570321361,2,0.08,Mussel
EC9325,3,goniata,8.585586011,5.028355388,5.246361059,3.606190926,0.500189036,3,0.2,Mussel
EC9325,4,goniata,7.715217391,5.215595463,5.650283554,3.678969754,0.428071834,3,0.27,Mussel
EC9325,5,goniata,7.279867675,4.198676749,4.403449905,2.928024575,0.382336957,NA,0.39,Mussel
